"module name","licenses","repository","licenseUrl","parents"
"@angular/animations@4.2.3","MIT","https://github.com/angular/angular","https://github.com/angular/angular","atlantis"
"@angular/cdk@2.0.0-beta.8","MIT","https://github.com/angular/material2","https://github.com/angular/material2/raw/master/LICENSE","atlantis"
"@angular/cli@1.1.2","MIT","https://github.com/angular/angular-cli","https://github.com/angular/angular-cli/raw/master/LICENSE","atlantis"
"@angular/common@4.2.3","MIT","https://github.com/angular/angular","https://github.com/angular/angular","atlantis"
"@angular/compiler-cli@4.2.3","MIT","https://github.com/angular/angular","https://github.com/angular/angular","atlantis"
"@angular/compiler@4.2.3","MIT","https://github.com/angular/angular","https://github.com/angular/angular","atlantis"
"@angular/core@4.2.3","MIT","https://github.com/angular/angular","https://github.com/angular/angular","atlantis"
"@angular/forms@4.2.3","MIT","https://github.com/angular/angular","https://github.com/angular/angular","atlantis"
"@angular/http@4.2.3","MIT","https://github.com/angular/angular","https://github.com/angular/angular","atlantis"
"@angular/material@2.0.0-beta.8","MIT","https://github.com/angular/material2","https://github.com/angular/material2/raw/master/LICENSE","atlantis"
"@angular/platform-browser-dynamic@4.2.3","MIT","https://github.com/angular/angular","https://github.com/angular/angular","atlantis"
"@angular/platform-browser@4.2.3","MIT","https://github.com/angular/angular","https://github.com/angular/angular","atlantis"
"@angular/router@4.2.3","MIT","https://github.com/angular/angular","https://github.com/angular/angular","atlantis"
"@angular/tsc-wrapped@4.2.3","MIT","https://github.com/angular/angular","https://github.com/angular/angular","atlantis"
"@ngtools/json-schema@1.1.0","MIT","https://github.com/angular/angular-cli","https://github.com/angular/angular-cli/raw/master/LICENSE","atlantis"
"@ngtools/webpack@1.4.1","MIT","https://github.com/angular/angular-cli","https://github.com/angular/angular-cli/raw/master/LICENSE","atlantis"
"@types/jasmine@2.5.38","MIT","https://wwwhub.com/DefinitelyTyped/DefinitelyTyped","https://wwwhub.com/DefinitelyTyped/DefinitelyTyped","atlantis"
"@types/node@6.0.88","MIT","https://wwwhub.com/DefinitelyTyped/DefinitelyTyped","https://wwwhub.com/DefinitelyTyped/DefinitelyTyped","atlantis"
"@types/q@0.0.32","MIT","https://wwwhub.com/DefinitelyTyped/DefinitelyTyped","https://wwwhub.com/DefinitelyTyped/DefinitelyTyped","atlantis"
"@types/selenium-webdriver@2.53.42","MIT","https://wwwhub.com/DefinitelyTyped/DefinitelyTyped","https://wwwhub.com/DefinitelyTyped/DefinitelyTyped","atlantis"
"abbrev@1.1.0","ISC","http://github.com/isaacs/abbrev-js","http://github.com/isaacs/abbrev-js/raw/master/LICENSE","atlantis"
"accepts@1.3.3","MIT","https://github.com/jshttp/accepts","https://github.com/jshttp/accepts/raw/master/LICENSE","engine.io:atlantis"
"accepts@1.3.4","MIT","https://github.com/jshttp/accepts","https://github.com/jshttp/accepts/raw/master/LICENSE","atlantis"
"acorn-dynamic-import@2.0.2","MIT","https://github.com/kesne/acorn-dynamic-import","https://github.com/kesne/acorn-dynamic-import/raw/master/LICENSE","atlantis"
"acorn@4.0.13","MIT","https://github.com/ternjs/acorn","https://github.com/ternjs/acorn/raw/master/LICENSE","acorn-dynamic-import:atlantis"
"acorn@5.1.2","MIT","https://github.com/ternjs/acorn","https://github.com/ternjs/acorn/raw/master/LICENSE","atlantis"
"adm-zip@0.4.4","MIT","https://github.com/cthackers/adm-zip","https://raw.github.com/cthackers/adm-zip/master/MIT-LICENSE.txt","webdriver-js-extender:atlantis"
"adm-zip@0.4.7","MIT","https://github.com/cthackers/adm-zip","https://raw.github.com/cthackers/adm-zip/master/MIT-LICENSE.txt","atlantis"
"after@0.8.2","MIT","https://github.com/Raynos/after","https://github.com/Raynos/after/raw/master/LICENCE","atlantis"
"agent-base@2.1.1","MIT","https://github.com/TooTallNate/node-agent-base","https://github.com/TooTallNate/node-agent-base","atlantis"
"ajv-keywords@1.5.1","MIT","https://github.com/epoberezkin/ajv-keywords","https://github.com/epoberezkin/ajv-keywords/raw/master/LICENSE","atlantis"
"ajv@4.11.8","MIT","https://github.com/epoberezkin/ajv","https://github.com/epoberezkin/ajv/raw/master/LICENSE","atlantis"
"ajv@5.2.2","MIT","https://github.com/epoberezkin/ajv","https://github.com/epoberezkin/ajv/raw/master/LICENSE","schema-utils:atlantis"
"align-text@0.1.4","MIT","https://github.com/jonschlinkert/align-text","https://github.com/jonschlinkert/align-text/raw/master/LICENSE","atlantis"
"alphanum-sort@1.0.2","MIT","https://github.com/TrySound/alphanum-sort","https://github.com/TrySound/alphanum-sort/raw/master/LICENSE","atlantis"
"amdefine@1.0.1","BSD-3-Clause OR MIT","https://github.com/jrburke/amdefine","https://github.com/jrburke/amdefine/raw/master/LICENSE","atlantis"
"angular-ide-loader@0.9.13","SEE LICENSE IN EULA","","https://www.genuitec.com/products/angular-ide/","atlantis"
"angular-ide@0.9.31","SEE LICENSE IN EULA","","https://www.genuitec.com/products/angular-ide/","atlantis"
"angular2-cool-http@2.3.0","MIT","https://github.com/Hacklone/angular2-cool-http","https://github.com/Hacklone/angular2-cool-http","atlantis"
"angular2-cool-loading-indicator@1.2.0","MIT","https://github.com/Hacklone/angular2-cool-loading-indicator","https://github.com/Hacklone/angular2-cool-loading-indicator","atlantis"
"ansi-align@2.0.0","ISC","https://github.com/nexdrew/ansi-align","https://github.com/nexdrew/ansi-align/raw/master/LICENSE","atlantis"
"ansi-escapes@2.0.0","MIT","https://github.com/sindresorhus/ansi-escapes","https://github.com/sindresorhus/ansi-escapes/raw/master/license","atlantis"
"ansi-html@0.0.7","Apache-2.0","https://github.com/Tjatse/ansi-html","https://github.com/Tjatse/ansi-html/raw/master/LICENSE","atlantis"
"ansi-regex@2.1.1","MIT","https://github.com/chalk/ansi-regex","https://github.com/chalk/ansi-regex/raw/master/license","atlantis"
"ansi-regex@3.0.0","MIT","https://github.com/chalk/ansi-regex","https://github.com/chalk/ansi-regex/raw/master/license","ansi-align:atlantis"
"ansi-styles@2.2.1","MIT","https://github.com/chalk/ansi-styles","https://github.com/chalk/ansi-styles/raw/master/license","atlantis"
"ansi-styles@3.2.0","MIT","https://github.com/chalk/ansi-styles","https://github.com/chalk/ansi-styles/raw/master/license","icss-utils:atlantis"
"any-promise@1.3.0","MIT","https://github.com/kevinbeaty/any-promise","https://github.com/kevinbeaty/any-promise/raw/master/LICENSE","atlantis"
"anymatch@1.3.2","ISC","https://github.com/es128/anymatch","https://github.com/es128/anymatch/raw/master/LICENSE","atlantis"
"app-root-path@2.0.1","MIT","https://github.com/inxilpro/node-app-root-path","https://github.com/inxilpro/node-app-root-path/raw/master/LICENSE","atlantis"
"append-transform@0.4.0","MIT","https://github.com/jamestalmage/append-transform","https://github.com/jamestalmage/append-transform/raw/master/license","atlantis"
"aproba@1.1.2","ISC","https://github.com/iarna/aproba","https://github.com/iarna/aproba/raw/master/LICENSE","atlantis"
"are-we-there-yet@1.1.4","ISC","https://github.com/iarna/are-we-there-yet","https://github.com/iarna/are-we-there-yet/raw/master/LICENSE","atlantis"
"argparse@1.0.9","MIT","https://github.com/nodeca/argparse","https://github.com/nodeca/argparse/raw/master/LICENSE","atlantis"
"arr-diff@2.0.0","MIT","https://github.com/jonschlinkert/arr-diff","https://github.com/jonschlinkert/arr-diff/raw/master/LICENSE","atlantis"
"arr-flatten@1.1.0","MIT","https://github.com/jonschlinkert/arr-flatten","https://github.com/jonschlinkert/arr-flatten/raw/master/LICENSE","atlantis"
"array-find-index@1.0.2","MIT","https://github.com/sindresorhus/array-find-index","https://github.com/sindresorhus/array-find-index/raw/master/license","atlantis"
"array-flatten@1.1.1","MIT","https://github.com/blakeembrey/array-flatten","https://github.com/blakeembrey/array-flatten/raw/master/LICENSE","atlantis"
"array-slice@0.2.3","MIT","https://github.com/jonschlinkert/array-slice","https://github.com/jonschlinkert/array-slice/blob/master/LICENSE","atlantis"
"array-union@1.0.2","MIT","https://github.com/sindresorhus/array-union","https://github.com/sindresorhus/array-union/raw/master/license","atlantis"
"array-uniq@1.0.3","MIT","https://github.com/sindresorhus/array-uniq","https://github.com/sindresorhus/array-uniq/raw/master/license","atlantis"
"array-unique@0.2.1","MIT","https://github.com/jonschlinkert/array-unique","https://github.com/jonschlinkert/array-unique/blob/master/LICENSE","atlantis"
"arraybuffer.slice@0.0.6","MIT*","https://github.com/rase-/arraybuffer.slice","https://github.com/rase-/arraybuffer.slice/raw/master/README.md","atlantis"
"arrify@1.0.1","MIT","https://github.com/sindresorhus/arrify","https://github.com/sindresorhus/arrify/raw/master/license","atlantis"
"asap@2.0.6","MIT","https://github.com/kriskowal/asap","https://github.com/kriskowal/asap/raw/master/LICENSE.md","atlantis"
"asn1.js@4.9.1","MIT","https://github.com/indutny/asn1.js","https://github.com/indutny/asn1.js","atlantis"
"asn1@0.2.3","MIT","https://github.com/mcavage/node-asn1","https://github.com/mcavage/node-asn1/raw/master/LICENSE","atlantis"
"assert-plus@0.2.0","MIT","https://github.com/mcavage/node-assert-plus","https://github.com/mcavage/node-assert-plus","http-signature:atlantis"
"assert-plus@1.0.0","MIT","https://github.com/mcavage/node-assert-plus","https://github.com/mcavage/node-assert-plus","atlantis"
"assert@1.4.1","MIT","https://github.com/defunctzombie/commonjs-assert","https://github.com/defunctzombie/commonjs-assert/raw/master/LICENSE","atlantis"
"async-each@1.0.1","MIT","https://github.com/paulmillr/async-each","https://github.com/paulmillr/async-each","atlantis"
"async-foreach@0.1.3","MIT*","https://github.com/cowboy/javascript-sync-async-foreach","https://github.com/cowboy/javascript-sync-async-foreach/raw/master/LICENSE-MIT","atlantis"
"async@0.2.10","MIT","https://github.com/caolan/async","https://github.com/caolan/async/raw/master/LICENSE","handlebars:atlantis"
"async@0.9.2","MIT","https://github.com/caolan/async","https://github.com/caolan/async/raw/master/LICENSE","source-map-loader:atlantis"
"async@1.0.0","MIT","https://github.com/caolan/async","https://github.com/caolan/async/raw/master/LICENSE","winston:atlantis"
"async@1.5.2","MIT","https://github.com/caolan/async","https://github.com/caolan/async/raw/master/LICENSE","istanbul-reports:atlantis"
"async@2.5.0","MIT","https://github.com/caolan/async","https://github.com/caolan/async/raw/master/LICENSE","atlantis"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit","https://github.com/alexindigo/asynckit/raw/master/LICENSE","atlantis"
"atlantis@1.0.0","PrimeNG Commercial","","","UNDEFINED"
"atob@1.1.3","(MIT OR Apache-2.0)","https://github.com/coolaj86/node-browser-compat","https://github.com/coolaj86/node-browser-compat/raw/master/LICENSE","atlantis"
"autoprefixer@6.7.7","MIT","https://github.com/postcss/autoprefixer","https://github.com/postcss/autoprefixer/raw/master/LICENSE","atlantis"
"aws-sign2@0.6.0","Apache-2.0","https://github.com/mikeal/aws-sign","https://github.com/mikeal/aws-sign/raw/master/LICENSE","atlantis"
"aws4@1.6.0","MIT","https://github.com/mhart/aws4","https://github.com/mhart/aws4/raw/master/LICENSE","atlantis"
"babel-code-frame@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-code-frame","https://github.com/babel/babel/tree/master/packages/babel-code-frame","atlantis"
"babel-generator@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-generator","https://github.com/babel/babel/tree/master/packages/babel-generator","atlantis"
"babel-messages@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-messages","https://github.com/babel/babel/tree/master/packages/babel-messages","atlantis"
"babel-runtime@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-runtime","https://github.com/babel/babel/tree/master/packages/babel-runtime","atlantis"
